myFunc generated func Eliott activation: x/(1+fabsf(x))
input 1.64239 4.43029 PredOutput 0.108625 0.0683252 
input 1.07277 1.23458 PredOutput 0.102337 0.060985 
input 0.734273 0.395889 PredOutput 0.0995049 0.0576809 
input 1.45205 3.06159 PredOutput 0.106391 0.0657165 
input 0.658711 0.285814 PredOutput 0.0989916 0.0570823 
input -1.1918 -1.69281 PredOutput 0.0876558 0.0437886 
input -0.753381 -0.427606 PredOutput 0.0918485 0.048727 
input 0.585518 0.200734 PredOutput 0.0985343 0.056549 
input 0.0470183 0.000103944 PredOutput 0.0960478 0.0536475 
input 0.20287 0.0083494 PredOutput 0.0966616 0.0543645 
input -0.125473 -0.00197537 PredOutput 0.0953762 0.0528622 
input -0.215963 -0.0100725 PredOutput 0.0950026 0.0524251 
input -0.288141 -0.0239231 PredOutput 0.0946828 0.0520508 
input 0.433318 0.0813616 PredOutput 0.0976979 0.0555738 
input 0.772094 0.460268 PredOutput 0.099778 0.0579994 
input -0.858195 -0.632059 PredOutput 0.090984 0.047711 
input 0.53602 0.154008 PredOutput 0.0982462 0.056213 
input 0.862329 0.641237 PredOutput 0.100474 0.0588115 
input -0.67269 -0.3044 PredOutput 0.0924528 0.0494367 
input 0.559495 0.175141 PredOutput 0.0983808 0.05637 
input 1.05793 1.18405 PredOutput 0.102195 0.0608195 
input 0.812929 0.537226 PredOutput 0.100085 0.0583578 
input 0.14274 0.0029083 PredOutput 0.0964205 0.0540829 
input 1.66049 4.57834 PredOutput 0.10884 0.0685764 
input -1.71039 -5.00361 PredOutput 0.0813107 0.0362677 
input 0.41013 0.0689868 PredOutput 0.0975827 0.0554393 
input 1.21338 1.78643 PredOutput 0.103752 0.0626361 
input -1.3651 -2.54384 PredOutput 0.0856392 0.041404 
input 1.44052 2.98923 PredOutput 0.106258 0.0655616 
input -0.279413 -0.0218143 PredOutput 0.0947227 0.0520976 
input 1.16543 1.58294 PredOutput 0.103256 0.0620571 
input 0.817457 0.546255 PredOutput 0.10012 0.0583985 
input 1.94943 7.40833 PredOutput 0.112256 0.0725677 
input -1.30439 -2.21932 PredOutput 0.0863631 0.0422606 
input -0.891931 -0.709567 PredOutput 0.0906866 0.0473611 
input 1.64551 4.45553 PredOutput 0.108662 0.0683684 
input -1.48387 -3.26729 PredOutput 0.0841807 0.0396756 
input -0.0334452 -3.7411e-05 PredOutput 0.0957374 0.0532846 
input -0.0176994 -5.5447e-06 PredOutput 0.0957983 0.0533558 
input 0.810385 0.532199 PredOutput 0.100066 0.0583351 
input 0.453679 0.0933782 PredOutput 0.0978016 0.0556947 
input 0.986709 0.960654 PredOutput 0.101536 0.0600502 
input -0.00648793 -2.73098e-07 PredOutput 0.0958415 0.0534064 
input -0.614053 -0.231535 PredOutput 0.0928595 0.0499141 
input 1.79733 5.80611 PredOutput 0.110467 0.0704775 
input 1.39976 2.7426 PredOutput 0.105793 0.0650182 
input -0.46496 -0.100519 PredOutput 0.0937798 0.0509932 
input -1.06081 -1.19376 PredOutput 0.089061 0.0454466 
input -1.72547 -5.13713 PredOutput 0.0811182 0.0360387 
input -0.931614 -0.808553 PredOutput 0.0903248 0.0469354 
input -0.319758 -0.0326937 PredOutput 0.0945349 0.0518777 
input -1.03197 -1.09901 PredOutput 0.0893542 0.0457922 
input -0.0553217 -0.000169312 PredOutput 0.0956525 0.0531854 
input 0.552927 0.169046 PredOutput 0.0983428 0.0563256 
input 0.253267 0.0162456 PredOutput 0.0968706 0.0546085 
input -0.464691 -0.100344 PredOutput 0.0937813 0.050995 
input 1.00918 1.02781 PredOutput 0.10174 0.0602884 
input -0.711731 -0.360535 PredOutput 0.092167 0.0491011 
input -0.392533 -0.0604824 PredOutput 0.094173 0.0514539 
input 1.2073 1.75973 PredOutput 0.103689 0.0625619 
input 1.60835 4.16049 PredOutput 0.108221 0.0678535 
input -0.223938 -0.01123 PredOutput 0.0949683 0.0523851 
input -1.27212 -2.05863 PredOutput 0.0867407 0.0427072 
input -1.78675 -5.7042 PredOutput 0.0803363 0.0351087 
input -0.872242 -0.663608 PredOutput 0.0908613 0.0475666 
input -1.62051 -4.25555 PredOutput 0.082457 0.0376298 
input -0.186051 -0.00644019 PredOutput 0.0951289 0.0525729 
input -0.252735 -0.0161434 PredOutput 0.0948425 0.0522379 
input 0.345993 0.0414194 PredOutput 0.0972783 0.0550843 
input -0.607566 -0.224275 PredOutput 0.0929029 0.0499649 
input -0.103028 -0.0010936 PredOutput 0.0954655 0.0529667 
input 0.113287 0.00145393 PredOutput 0.0963048 0.0539478 
input -1.17191 -1.60948 PredOutput 0.0878764 0.0440491 
input -1.76512 -5.49945 PredOutput 0.0806122 0.0354369 
input -0.0803732 -0.0005192 PredOutput 0.0955547 0.053071 
input -0.920354 -0.779587 PredOutput 0.0904287 0.0470577 
input -0.685296 -0.321836 PredOutput 0.0923618 0.0493299 
input -2.04016 -8.49165 PredOutput 0.0771592 0.0313229 
input 0.554242 0.170254 PredOutput 0.0983504 0.0563345 
input -1.22756 -1.84981 PredOutput 0.0872529 0.0433127 
input -1.71718 -5.06343 PredOutput 0.081224 0.0361646 
input 0.965632 0.900399 PredOutput 0.101348 0.0598307 
input -0.811105 -0.533618 PredOutput 0.0913836 0.0481808 
input -0.502708 -0.127042 PredOutput 0.0935614 0.0507372 
input 0.24375 0.0144822 PredOutput 0.0968305 0.0545617 
input -0.518465 -0.139366 PredOutput 0.0934674 0.0506269 
input -1.05404 -1.17105 PredOutput 0.0891303 0.0455284 
input 1.8462 6.29269 PredOutput 0.111046 0.0711534 
input 0.870532 0.659712 PredOutput 0.100541 0.0588889 
input -2.17358 -10.269 PredOutput 0.0755541 0.0294064 
input 0.521166 0.141556 PredOutput 0.0981629 0.0561159 
input -0.43688 -0.0833849 PredOutput 0.0939362 0.0511764 
input 1.32835 2.34387 PredOutput 0.104992 0.0640836 
input -2.05527 -8.68177 PredOutput 0.0769744 0.0311025 
input -1.37449 -2.59671 PredOutput 0.0855257 0.0412696 
input 0.298457 0.0265855 PredOutput 0.097065 0.0548355 
input -0.856949 -0.629311 PredOutput 0.0909948 0.0477237 
input 1.57324 3.89392 PredOutput 0.107806 0.0673686 
input 0.736298 0.399173 PredOutput 0.0995192 0.0576976 
input -0.82179 -0.554987 PredOutput 0.0912945 0.0480761 
input -1.50859 -3.4333 PredOutput 0.0838718 0.0393091 
input 0.772878 0.461671 PredOutput 0.0997838 0.0580062 
input -0.464106 -0.099966 PredOutput 0.0937846 0.0509988 
input 0.208547 0.00907011 PredOutput 0.0966847 0.0543915 
input -1.17428 -1.61924 PredOutput 0.0878503 0.0440183 
input 1.90705 6.93561 PredOutput 0.111761 0.0719897 
input 1.93217 7.21332 PredOutput 0.112055 0.0723329 
input 0.415788 0.0718813 PredOutput 0.0976105 0.0554718 
input 1.91775 7.05301 PredOutput 0.111886 0.072136 
input 0.392289 0.0603698 PredOutput 0.0974959 0.0553382 
input 1.21185 1.77972 PredOutput 0.103736 0.0626175 
input 0.459267 0.0968711 PredOutput 0.0978305 0.0557283 
input 1.30016 2.1978 PredOutput 0.104682 0.0637216 
input 0.723423 0.378597 PredOutput 0.0994285 0.0575918 
input 0.426356 0.0775026 PredOutput 0.097663 0.055533 
input -1.5473 -3.70442 PredOutput 0.083385 0.0387316 
input 0.884005 0.69082 PredOutput 0.100651 0.0590175 
input 0.066216 0.000290329 PredOutput 0.0961219 0.0537341 
input 0.0455358 9.44186e-05 PredOutput 0.0960421 0.0536408 
input -0.507503 -0.130712 PredOutput 0.0935329 0.0507038 
input -1.56648 -3.84392 PredOutput 0.0831426 0.0384439 
input -0.410227 -0.0690356 PredOutput 0.09408 0.0513449 
input 0.324373 0.0341299 PredOutput 0.0971801 0.0549698 
input -0.234333 -0.0128677 PredOutput 0.0949233 0.0523324 
input -1.94162 -7.31966 PredOutput 0.0783791 0.0327778 
input 0.428031 0.0784198 PredOutput 0.0976714 0.0555428 
input 0.57307 0.188201 PredOutput 0.0984603 0.0564627 
input -0.16345 -0.00436673 PredOutput 0.0952224 0.0526823 
input 1.99171 7.90098 PredOutput 0.112745 0.07314 
input 1.17486 1.62166 PredOutput 0.103352 0.0621697 
input -1.2358 -1.88732 PredOutput 0.087159 0.0432017 
input -0.148858 -0.00329852 PredOutput 0.0952819 0.0527519 
input -1.39143 -2.69393 PredOutput 0.0853202 0.0410262 
input 1.17237 1.61136 PredOutput 0.103327 0.0621399 
input 1.15109 1.52522 PredOutput 0.10311 0.061887 
input -0.429533 -0.0792485 PredOutput 0.0939762 0.0512234 
input 0.537533 0.155316 PredOutput 0.0982547 0.056223 
input -0.615537 -0.233219 PredOutput 0.0928495 0.0499024 
input -1.27296 -2.06272 PredOutput 0.0867309 0.0426957 
input -1.71698 -5.06168 PredOutput 0.0812266 0.0361676 
input 0.644689 0.267948 PredOutput 0.098901 0.0569767 
input 0.423898 0.0761702 PredOutput 0.0976507 0.0555187 
input 0.279917 0.0219324 PredOutput 0.0969843 0.0547413 
input -0.687098 -0.324381 PredOutput 0.0923487 0.0493145 
input 0.446278 0.0888823 PredOutput 0.0977637 0.0556504 
input 1.9064 6.92854 PredOutput 0.111754 0.0719809 
input -0.0540289 -0.000157717 PredOutput 0.0956575 0.0531912 
input 2.049 8.60251 PredOutput 0.113401 0.0739071 
input 1.6817 4.75603 PredOutput 0.109092 0.0688711 
input 1.08961 1.29363 PredOutput 0.1025 0.0611749 
input 1.96522 7.58983 PredOutput 0.112439 0.072782 
input 0.542056 0.159269 PredOutput 0.0982804 0.056253 
input -1.39011 -2.68625 PredOutput 0.0853363 0.0410452 
input -1.3069 -2.23218 PredOutput 0.0863334 0.0422256 
input -1.64266 -4.4324 PredOutput 0.082175 0.0372949 
input -2.13899 -9.78645 PredOutput 0.0759644 0.0298965 
input -0.16787 -0.00473061 PredOutput 0.0952042 0.0526611 
input -1.75623 -5.41681 PredOutput 0.0807255 0.0355717 
input -0.467517 -0.102186 PredOutput 0.0937653 0.0509762 
input -0.91002 -0.75362 PredOutput 0.0905233 0.0471689 
input 0.291124 0.0246736 PredOutput 0.097033 0.054798 
input -0.299889 -0.0269699 PredOutput 0.0946284 0.0519872 
input -0.631915 -0.252334 PredOutput 0.0927384 0.049772 
input 0.103613 0.00111235 PredOutput 0.0962671 0.0539037 
input 0.879063 0.679298 PredOutput 0.10061 0.0589702 
input 0.645532 0.269001 PredOutput 0.0989064 0.056983 
input 1.17349 1.61597 PredOutput 0.103338 0.0621532 
input 0.800456 0.512875 PredOutput 0.0999901 0.0582468 
input 1.11091 1.37098 PredOutput 0.102709 0.0614184 
input -1.36812 -2.56078 PredOutput 0.0856027 0.0413607 
input -1.7536 -5.39253 PredOutput 0.080759 0.0356116 
input -1.60085 -4.10253 PredOutput 0.082707 0.0379267 
input 1.71403 5.03568 PredOutput 0.109477 0.0693206 
input 1.87097 6.54935 PredOutput 0.111338 0.0714946 
input 0.382849 0.0561156 PredOutput 0.0974507 0.0552854 
input -0.10404 -0.00112615 PredOutput 0.0954615 0.052962 
input 0.116699 0.0015893 PredOutput 0.0963182 0.0539634 
input -1.20896 -1.76701 PredOutput 0.0874634 0.0435613 
input 0.167971 0.0047392 PredOutput 0.0965208 0.0542 
input -0.670798 -0.301839 PredOutput 0.0924663 0.0494526 
input -0.435664 -0.0826906 PredOutput 0.0939428 0.0511842 
input 0.63859 0.260415 PredOutput 0.0988621 0.0569312 
input 0.89402 0.714564 PredOutput 0.100734 0.0591141 
input 1.14052 1.48356 PredOutput 0.103004 0.0617625 
input -2.12882 -9.64753 PredOutput 0.0760858 0.0300415 
input 0.443356 0.0871479 PredOutput 0.0977488 0.055633 
input 0.118053 0.00164524 PredOutput 0.0963235 0.0539696 
input -1.0726 -1.23399 PredOutput 0.0889394 0.0453033 
input 1.71518 5.04575 PredOutput 0.109491 0.0693365 
input 1.41386 2.82628 PredOutput 0.105953 0.0652054 
input -0.686578 -0.323646 PredOutput 0.0923525 0.049319 
input -2.095 -9.19503 PredOutput 0.0764922 0.0305268 
input -0.911304 -0.756814 PredOutput 0.0905116 0.0471551 
input 0.0326021 3.46527e-05 PredOutput 0.0959923 0.0535825 
input -1.35967 -2.51364 PredOutput 0.0857045 0.0414813 
input -2.00906 -8.10925 PredOutput 0.0775414 0.0317789 
input 0.929961 0.804257 PredOutput 0.101037 0.0594681 
input 2.03089 8.3764 PredOutput 0.113194 0.0736656 
input -0.105832 -0.00118535 PredOutput 0.0954544 0.0529537 
input -2.16929 -10.2083 PredOutput 0.0756048 0.0294669 
input 1.0724 1.2333 PredOutput 0.102334 0.0609809 
input 1.26563 2.02729 PredOutput 0.104307 0.0632843 
input -0.990455 -0.971638 PredOutput 0.0897652 0.0462765 
input -1.78181 -5.65699 PredOutput 0.0803993 0.0351837 
input -1.43748 -2.97032 PredOutput 0.0847561 0.0403578 
input -1.7746 -5.5886 PredOutput 0.0804912 0.035293 
input -0.697225 -0.338937 PredOutput 0.0922746 0.0492275 
input -0.288648 -0.0240496 PredOutput 0.0946804 0.0520481 
input 0.442166 0.086448 PredOutput 0.0977427 0.055626 
input -0.536812 -0.154692 PredOutput 0.0933558 0.0504961 
input -1.69638 -4.88168 PredOutput 0.0814896 0.0364803 
input -1.2722 -2.05906 PredOutput 0.0867397 0.042706 
input -0.825689 -0.562923 PredOutput 0.0912618 0.0480376 
input -1.66282 -4.59765 PredOutput 0.0819179 0.0369894 
input -0.44308 -0.0869857 PredOutput 0.0939021 0.0511365 
input -1.49529 -3.34329 PredOutput 0.0840382 0.0395066 
input -2.17609 -10.3045 PredOutput 0.0755245 0.0293711 
input -0.167424 -0.00469303 PredOutput 0.095206 0.0526632 
input 1.2581 1.99135 PredOutput 0.104227 0.0631899 
input 1.61567 4.21751 PredOutput 0.108308 0.0679548 
input 0.11913 0.00169068 PredOutput 0.0963277 0.0539745 
input -1.71809 -5.07153 PredOutput 0.0812123 0.0361507 
input 0.609002 0.225868 PredOutput 0.0986769 0.0567153 
input -0.410894 -0.0693727 PredOutput 0.0940764 0.0513407 
input 1.85482 6.38129 PredOutput 0.111147 0.0712723 
input -0.553516 -0.169586 PredOutput 0.0932521 0.0503746 
input 1.35502 2.48793 PredOutput 0.105289 0.0644299 
input 1.9104 6.97222 PredOutput 0.1118 0.0720356 
input 0.943499 0.839894 PredOutput 0.101154 0.0596044 
input 0.548496 0.165014 PredOutput 0.0983173 0.0562959 
input 0.756099 0.432252 PredOutput 0.0996612 0.0578632 
input 0.438709 0.0844362 PredOutput 0.0977252 0.0556055 
input -1.33805 -2.39561 PredOutput 0.0859637 0.0417882 
input 1.03537 1.10991 PredOutput 0.101983 0.0605713 
input -0.822846 -0.557129 PredOutput 0.0912857 0.0480657 
input -1.75017 -5.36097 PredOutput 0.0808028 0.0356636 
input -1.32122 -2.30633 PredOutput 0.0861641 0.0420253 
input 1.9668 7.60823 PredOutput 0.112457 0.0728035 
input 1.22524 1.83933 PredOutput 0.103877 0.0627817 
input -0.903754 -0.738161 PredOutput 0.0905801 0.0472358 
input 1.64302 4.43536 PredOutput 0.108633 0.0683339 
input 0.569181 0.184396 PredOutput 0.0984374 0.056436 
input 1.20252 1.73893 PredOutput 0.103639 0.0625037 
input 0.517362 0.138479 PredOutput 0.0981417 0.0560913 
input -0.949127 -0.855014 PredOutput 0.0901611 0.0467427 
input -1.44002 -2.98613 PredOutput 0.0847247 0.0403206 
input -0.250612 -0.0157401 PredOutput 0.0948519 0.0522489 
input -1.75698 -5.42379 PredOutput 0.0807159 0.0355603 
input 0.473441 0.10612 PredOutput 0.0979046 0.0558147 
input 1.09876 1.32652 PredOutput 0.102589 0.0612792 
input -0.46535 -0.100772 PredOutput 0.0937776 0.0509906 
input -1.89977 -6.85648 PredOutput 0.0789041 0.0334034 
input 1.67742 4.71982 PredOutput 0.109041 0.0688116 
input -0.124789 -0.00194326 PredOutput 0.0953789 0.0528654 
input -1.11729 -1.39474 PredOutput 0.0884694 0.044749 
input -1.64525 -4.45343 PredOutput 0.082142 0.0372556 
input -0.0621906 -0.000240533 PredOutput 0.0956257 0.0531541 
input -1.61309 -4.19738 PredOutput 0.0825514 0.0377419 
input -2.18756 -10.4684 PredOutput 0.0753895 0.0292098 
input 1.35791 2.5039 PredOutput 0.105321 0.0644676 
input -1.42818 -2.91307 PredOutput 0.0848706 0.0404935 
input 1.21025 1.77267 PredOutput 0.103719 0.0625979 
input -1.28807 -2.13707 PredOutput 0.0865547 0.0424873 
input 0.738797 0.40325 PredOutput 0.099537 0.0577183 
input 1.72622 5.14389 PredOutput 0.109622 0.0694901 
input -1.34863 -2.4529 PredOutput 0.0858371 0.0416383 
input 0.764052 0.446035 PredOutput 0.099719 0.0579306 
input 0.143062 0.00292803 PredOutput 0.0964218 0.0540844 
input 0.955203 0.871539 PredOutput 0.101256 0.0597236 
input -2.17429 -10.279 PredOutput 0.0755457 0.0293964 
input 0.850829 0.615924 PredOutput 0.100382 0.0587039 
input 0.673581 0.305612 PredOutput 0.0990893 0.0571962 
input 0.0631473 0.000251805 PredOutput 0.0961101 0.0537202 
input -1.97795 -7.73829 PredOutput 0.0779264 0.0322381 
input 1.66766 4.63787 PredOutput 0.108925 0.068676 
input -0.949168 -0.855125 PredOutput 0.0901607 0.0467422 
input -0.268442 -0.0193442 PredOutput 0.0947724 0.0521557 
input 1.25922 1.99667 PredOutput 0.104239 0.0632039 
input -0.32316 -0.0337484 PredOutput 0.0945187 0.0518587 
input 2.05785 8.71453 PredOutput 0.113501 0.0740247 
input -1.49897 -3.36807 PredOutput 0.0839921 0.0394519 
input -0.458989 -0.0966959 PredOutput 0.0938135 0.0510326 
input 1.07804 1.25285 PredOutput 0.102388 0.0610442 
input -1.81048 -5.93442 PredOutput 0.0800344 0.0347494 
input 1.75069 5.36568 PredOutput 0.109913 0.0698301 
input -0.355767 -0.0450295 PredOutput 0.0943598 0.0516727 
input 1.22492 1.8379 PredOutput 0.103874 0.0627778 
input -0.169449 -0.00486537 PredOutput 0.0951977 0.0526535 
input 0.448038 0.0899385 PredOutput 0.0977727 0.0556609 
input -1.31018 -2.24901 PredOutput 0.0862948 0.0421798 
input -1.88618 -6.71045 PredOutput 0.0790753 0.0336073 
input -0.50816 -0.131221 PredOutput 0.093529 0.0506993 
input 1.83414 6.17022 PredOutput 0.110903 0.0709869 
input 1.65266 4.51388 PredOutput 0.108747 0.0684677 
input 1.88618 6.71043 PredOutput 0.111516 0.0717037 
input 2.06094 8.75375 PredOutput 0.113536 0.0740656 
input -1.37171 -2.58099 PredOutput 0.0855593 0.0413094 
input -1.0477 -1.15004 PredOutput 0.089195 0.0456046 
input 0.976019 0.929768 PredOutput 0.10144 0.0599384 
input -0.945344 -0.84483 PredOutput 0.0901967 0.0467845 
input 2.01392 8.16822 PredOutput 0.113 0.0734386 
input -0.295358 -0.0257659 PredOutput 0.0946495 0.0520119 
input -0.599599 -0.215567 PredOutput 0.0929557 0.0500269 
input -1.03566 -1.11082 PredOutput 0.089317 0.0457485 
input -1.38147 -2.63651 PredOutput 0.0854411 0.0411694 
input -2.1694 -10.2099 PredOutput 0.0756034 0.0294653 
input -2.14861 -9.91904 PredOutput 0.0758499 0.0297597 
input 0.612474 0.229753 PredOutput 0.0986983 0.0567403 
input 0.773055 0.461989 PredOutput 0.0997851 0.0580077 
input 0.20998 0.00925841 PredOutput 0.0966906 0.0543984 
input -1.2189 -1.81093 PredOutput 0.0873512 0.0434288 
input 1.58745 4.00037 PredOutput 0.107974 0.0675645 
input 1.57003 3.87014 PredOutput 0.107768 0.0673244 
input 2.00689 8.08294 PredOutput 0.11292 0.0733442 
input -1.11246 -1.37675 PredOutput 0.0885208 0.0448096 
input 0.562671 0.178141 PredOutput 0.0983993 0.0563916 
input 0.0765192 0.000448034 PredOutput 0.0961618 0.0537807 
input 0.854001 0.622838 PredOutput 0.100407 0.0587335 
input 0.525667 0.145255 PredOutput 0.098188 0.0561451 
input 1.73956 5.264 PredOutput 0.109781 0.0696754 
input 0.985491 0.957102 PredOutput 0.101525 0.0600374 
input -1.42271 -2.87972 PredOutput 0.0849378 0.0405732 
input 0.606787 0.223413 PredOutput 0.0986633 0.0566994 
input -2.09187 -9.15383 PredOutput 0.07653 0.030572 
input -1.26602 -2.02918 PredOutput 0.0868114 0.0427909 
input -1.62948 -4.32661 PredOutput 0.0823429 0.0374942 
input 1.07868 1.2551 PredOutput 0.102394 0.0610514 
input -1.11325 -1.37966 PredOutput 0.0885125 0.0447998 
input 1.74704 5.33226 PredOutput 0.10987 0.0697795 
input -0.364436 -0.0484021 PredOutput 0.0943165 0.051622 
input -1.79303 -5.76449 PredOutput 0.0802564 0.0350136 
input 1.67519 4.70103 PredOutput 0.109015 0.0687807 
input -1.25514 -1.97732 PredOutput 0.0869371 0.0429395 
input -0.183618 -0.00619082 PredOutput 0.095139 0.0525848 
input 1.6541 4.5257 PredOutput 0.108764 0.0684877 
input 0.676543 0.30966 PredOutput 0.0991089 0.0572191 
input 1.31431 2.27033 PredOutput 0.104837 0.0639028 
input -0.781215 -0.476772 PredOutput 0.0916277 0.0484677 
input 1.60245 4.11488 PredOutput 0.108151 0.0677719 
input -1.76163 -5.46695 PredOutput 0.0806566 0.0354898 
input 0.336509 0.0381058 PredOutput 0.097235 0.0550338 
input 0.0779779 0.000474149 PredOutput 0.0961674 0.0537873 
input 1.25023 1.95418 PredOutput 0.104142 0.0630915 
input -1.17671 -1.62934 PredOutput 0.0878234 0.0439865 
input 1.40405 2.76787 PredOutput 0.105842 0.065075 
input 1.28005 2.09738 PredOutput 0.104463 0.0634661 
input 1.21396 1.789 PredOutput 0.103758 0.0626432 
input -0.917702 -0.772868 PredOutput 0.0904531 0.0470863 
input -2.06093 -8.75369 PredOutput 0.0769054 0.0310201 
input 0.509936 0.132601 PredOutput 0.0981008 0.0560435 
input 1.93446 7.23898 PredOutput 0.112081 0.072364 
input 0.998123 0.99438 PredOutput 0.101639 0.0601706 
input -1.52178 -3.52414 PredOutput 0.0837063 0.0391128 
input 1.58154 3.95587 PredOutput 0.107904 0.067483 
input 1.61621 4.22179 PredOutput 0.108314 0.0679623 
input -0.483778 -0.113224 PredOutput 0.0936721 0.050867 
input 0.252082 0.0160187 PredOutput 0.0968655 0.0546026 
input -1.69752 -4.89156 PredOutput 0.081475 0.036463 
input -0.845842 -0.605156 PredOutput 0.0910906 0.0478363 
input -2.04583 -8.56264 PredOutput 0.0770898 0.0312401 
input 0.93808 0.825504 PredOutput 0.101107 0.0595497 
input -0.287144 -0.0236756 PredOutput 0.0946873 0.0520562 
input -1.84631 -6.29382 PredOutput 0.0795794 0.0342078 
input 1.60544 4.13793 PredOutput 0.108187 0.0678132 
input -1.11551 -1.38809 PredOutput 0.0884884 0.0447714 
input -1.75506 -5.40596 PredOutput 0.0807405 0.0355895 
input -1.83666 -6.19566 PredOutput 0.0797018 0.0343534 
input 2.15398 9.99369 PredOutput 0.114578 0.0752837 
input -1.56434 -3.8282 PredOutput 0.0831697 0.038476 
input -0.389175 -0.0589433 PredOutput 0.0941904 0.0514743 
input 1.71785 5.06939 PredOutput 0.109523 0.0693737 
input -1.50676 -3.42083 PredOutput 0.0838946 0.0393363 
input 1.01498 1.04561 PredOutput 0.101793 0.0603505 
input -0.466716 -0.101662 PredOutput 0.0937698 0.0509815 
input -0.528552 -0.14766 PredOutput 0.0934063 0.0505553 
input 0.0335153 3.76469e-05 PredOutput 0.0959958 0.0535867 
input 0.299534 0.0268745 PredOutput 0.0970698 0.054841 
input -0.716538 -0.36789 PredOutput 0.0921309 0.0490588 
input -1.7324 -5.19933 PredOutput 0.0810296 0.0359334 
